Calciatore,Ruolo,Fantamedia,Presenze,Gf,Gs,Rp,Rs,Au,Amm,Esp,FM_su_Totale_Gare
Thuram,A,11.17,3,4,0,0,0,0,0,0,11.17
Weah,C,10,1,1,0,0,0,0,0,0,3.33
Lukaku,A,10,1,1,0,0,0,0,0,0,3.33
Pinamonti,A,10,1,1,0,0,0,0,0,0,3.33
Shomurodov,A,10,1,1,0,0,0,0,0,0,3.33
Vlahovic,A,10,2,1,0,0,0,0,0,0,6.67
Mbangula,A,9.75,2,1,0,0,0,0,0,0,6.5
Tavares N.,D,9.5,1,0,0,0,0,0,0,0,3.17
Mosquera,A,9.5,2,2,0,0,0,0,0,0,6.33
Retegui,A,9.33,3,2,0,0,0,0,1,0,9.33
Morata,A,9,1,1,0,0,0,0,1,0,3
Man,C,8.67,3,2,0,0,0,0,0,0,8.67
Castellanos,A,8.67,3,2,0,0,0,0,1,0,8.67
Gyasi,C,8.5,3,2,0,0,0,0,0,0,8.5
Barella,C,8.33,3,1,0,0,0,0,0,0,8.33
Brescianini,C,8.33,3,2,0,0,0,0,0,0,8.33
Savona,D,8,2,1,0,0,0,0,0,0,5.33
Vogliacco,D,8,2,1,0,0,0,0,0,0,5.33
Bonny,A,8,3,0,0,0,0,0,0,0,8
Dia,A,8,2,1,0,0,0,0,0,0,5.33
Yildiz,A,8,2,0,0,0,0,0,0,0,5.33
Kvaratskhelia,A,7.83,3,1,0,0,0,0,0,0,7.83
Biraghi,D,7.75,2,1,0,0,0,0,0,0,5.17
Cambiaso,D,7.75,2,1,0,0,0,0,1,0,5.17
Pavlovic,D,7.75,2,1,0,0,0,0,1,0,5.17
Neres,C,7.75,2,0,0,0,0,0,0,0,5.17
Cutrone,A,7.75,2,1,0,0,0,0,0,0,5.17
Giannetti L.,D,7.5,2,1,0,0,0,0,2,0,5
Andersen M.k.,C,7.5,2,1,0,0,0,0,0,0,5
Ilic,C,7.5,3,1,0,0,0,0,1,0,7.5
Lazovic,C,7.5,2,0,0,0,0,0,0,0,5
Adams C.,A,7.5,3,1,0,0,0,0,1,0,7.5
Lucca,A,7.5,2,1,0,0,0,0,1,0,5
Rocha Livramento,A,7.5,2,1,0,0,0,0,0,0,5
Zapata D.,A,7.5,3,1,0,0,0,0,1,0,7.5
Coco,D,7.33,3,1,0,0,0,0,0,0,7.33
Darmian,D,7.33,3,1,0,0,0,0,0,0,7.33
Calhanoglu,C,7.33,3,0,0,0,0,0,0,0,7.33
Pulisic,C,7.33,3,1,0,0,0,0,0,0,7.33
Colombo,A,7.33,3,0,0,0,0,0,0,0,7.33
Isaksen,A,7.33,3,1,0,0,0,0,0,0,7.33
Leao,A,7.33,3,1,0,0,0,0,0,0,7.33
Cancellieri,A,7.17,3,1,0,0,0,0,0,0,7.17
Bijol,D,7,2,0,0,0,0,0,0,0,4.67
Dossena,D,7,1,0,0,0,0,0,0,0,2.33
Pavard,D,7,2,0,0,0,0,0,0,0,4.67
Orsolini,C,7,3,0,0,0,0,0,0,0,7
Zaccagni,C,7,3,0,0,0,0,0,1,0,7
Okafor,A,7,3,1,0,0,0,0,0,0,7
Piccoli,A,7,3,1,0,0,0,0,0,0,7
Zambo Anguissa,C,6.83,3,1,0,0,0,0,1,0,6.83
Cabal,D,6.75,2,0,0,0,0,0,0,0,4.5
Baldanzi,C,6.75,2,0,0,0,0,0,0,0,4.5
Milinkovic-Savic V.,P,6.67,3,0,3,1,0,0,1,0,6.67
Di Lorenzo,D,6.67,3,1,0,0,0,0,0,0,6.67
